2018-02-17 00:14:16 install g++:amd64 <none> 4:4.9.2-2
2018-02-17 00:14:16 status half-installed g++:amd64 4:4.9.2-2
2018-02-17 00:14:16 status unpacked g++:amd64 4:4.9.2-2
2018-02-17 00:14:16 status unpacked g++:amd64 4:4.9.2-2
2018-02-17 00:14:16 install pkg-config:amd64 <none> 0.28-1
2018-02-17 00:14:16 status half-installed pkg-config:amd64 0.28-1
2018-02-17 00:14:16 status unpacked pkg-config:amd64 0.28-1
2018-02-17 00:14:16 status unpacked pkg-config:amd64 0.28-1
2018-02-17 00:14:16 install re2c:amd64 <none> 0.13.5-1
2018-02-17 00:14:16 status half-installed re2c:amd64 0.13.5-1
2018-02-17 00:14:16 status unpacked re2c:amd64 0.13.5-1
2018-02-17 00:14:16 status unpacked re2c:amd64 0.13.5-1
2018-02-17 00:14:17 startup packages configure
2018-02-17 00:14:17 configure libgdbm3:amd64 1.8.3-13.1 <none>
2018-02-17 00:14:17 status unpacked libgdbm3:amd64 1.8.3-13.1
2018-02-17 00:14:17 status half-configured libgdbm3:amd64 1.8.3-13.1
2018-02-17 00:14:17 status installed libgdbm3:amd64 1.8.3-13.1
2018-02-17 00:14:17 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2018-02-17 00:14:17 configure libssl1.0.0:amd64 1.0.1t-1+deb8u7 <none>
2018-02-17 00:14:17 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-02-17 00:14:17 status half-configured libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-02-17 00:14:17 status installed libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-02-17 00:14:17 configure libgmp10:amd64 2:6.0.0+dfsg-6 <none>
2018-02-17 00:14:17 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2018-02-17 00:14:17 status half-configured libgmp10:amd64 2:6.0.0+dfsg-6
2018-02-17 00:14:17 status installed libgmp10:amd64 2:6.0.0+dfsg-6
2018-02-17 00:14:17 configure libnettle4:amd64 2.7.1-5+deb8u2 <none>
2018-02-17 00:14:17 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:17 status half-configured libnettle4:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:17 status installed libnettle4:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:17 configure libhogweed2:amd64 2.7.1-5+deb8u2 <none>
2018-02-17 00:14:17 status unpacked libhogweed2:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:17 status half-configured libhogweed2:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:17 status installed libhogweed2:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:17 configure libffi6:amd64 3.1-2+deb8u1 <none>
2018-02-17 00:14:17 status unpacked libffi6:amd64 3.1-2+deb8u1
2018-02-17 00:14:17 status half-configured libffi6:amd64 3.1-2+deb8u1
2018-02-17 00:14:17 status installed libffi6:amd64 3.1-2+deb8u1
2018-02-17 00:14:17 configure libp11-kit0:amd64 0.20.7-1 <none>
2018-02-17 00:14:17 status unpacked libp11-kit0:amd64 0.20.7-1
2018-02-17 00:14:17 status half-configured libp11-kit0:amd64 0.20.7-1
2018-02-17 00:14:17 status installed libp11-kit0:amd64 0.20.7-1
2018-02-17 00:14:17 configure libtasn1-6:amd64 4.2-3+deb8u3 <none>
